name,abbrev
AeroTech,AeroTech
Alpha Hybrids,Alpha
Animal Motor Works,AMW
Apogee Components,Apogee
Cesaroni Technology,Cesaroni
Contrail Rockets,Contrail
Ellis Mountain,Ellis
Estes Industries,Estes
Gorilla Rocket Motors,Gorilla
Hypertek,Hypertek
Kosdon by AeroTech,KBA
Kosdon TRM,Kosdon
Loki Research,Loki
Propulsion Polymers,PP
"Public Missiles, Ltd.",PML
Quest Aerospace,Quest
R.A.T.T. Works,RATT
Raketenmodellbau Klima,Klima
Roadrunner Rocketry,Roadrunner
Rocketvision Flight-Star,RV
Sky Ripper Systems,SkyR
Southern Cross Rocketry,SCR
West Coast Hybrids,WCH
