url,description,image_src,Recommended Engines,Projected Max Altitude,Recovery System,Length,Diameter,Estimated Weight,Estimated Assembly Time,Fin Materials,Decal Type,Launch System,Launch Rod Size,instructions,Construction,Wingspan,Age Recommendation,Launch Rod System,Recovery,Fin Material,Estimated Assembly Weight,product_url
/hc/en-us/articles/9031862182925-1706-ORBIS-3D-Bulk-Pack-12-Pack-,,/hc/article_attachments/9031819989645/001706_main_1.jpg,"A8-3, B4-4, B6-4, C6-5",400 ft. (122 m),9 in. (22.9 cm) Parachute,10 – 12 in. (25.4 – 30.5 cm),0.74 in. (19 mm),0.50 oz. (14.2 g),,3D Printed,N/A,Porta-Pad II and Electron Beam Launch Controller,"1/8""",/hc/en-us/article_attachments/9031905930893,,,"Estes model rocketry is recommended for boys and girls ages 10+ with adult supervision for those under 12, and rocketeers of all ages.",,,,,https://estesrockets.com/product/001706-orbis-3d-bulk-pack-12-pack/
/hc/en-us/articles/9031811947149-1718-Green-Eggs-Bulk-Pack,,/hc/article_attachments/9031766273549/GreenEggs_EDU_blk.webp,"w/ egg : C11-3, D12-3w/out egg : C11-5, D12-5",825 ft. (251 m) with egg1050 ft. (320 m) without egg,18 in. (45.7 cm) Parachute,23.6 in. (59.9 cm),1.8 in. (46 mm),3.50 oz. (99.2 g),2 Hours (painting and glue drying time not included),Laser cut wood,Self-stick,Porta-Pad II and Electron Beam Launch Controller,"3/16"" Maxi Rod (sold separately)",/hc/en-us/article_attachments/9031811699469,,,,,,,,https://estesrockets.com/product/001718-green-eggs-bulk-pack/
/hc/en-us/articles/9031377532045-1721-Star-Hopper-Bulk-Pack-12-PK-,,/hc/article_attachments/9031358867853/StarHopper_EDU_blk.webp,"1/2A3-2T, A3-4T, A10-3T",400 ft. (122 m),18 in. (45.7 cm) Streamer,7.4 in. (18.8 cm),0.74 in. (19 mm),0.73 oz. (20.7 g),10 Minutes,Plastic,Self-stick,Porta-Pad II and Electron Beam Launch Controller,"1/8""",/hc/en-us/article_attachments/9031317703181,,,"Estes model rocketry is recommended for boys and girls ages 10+ with adult supervision for those under 12, and rocketeers of all ages.",,,,,https://estesrockets.com/product/001721-star-hopper/
/hc/en-us/articles/9031384784269-1749-Gnome-Bulk-Pack-12-Pk-,,/hc/article_attachments/9031382906893/Gnome_EDU_blk.webp,"1/2A3-2T, 1/2A3-4T, A3-4T, A10-3T",800 ft. (244 m),12 in. (30.5 cm) Streamer,10.3 in. (26.2 cm),0.54 in. (14 mm),0.5 oz. (14.2 g),1 Hour (painting and glue drying time not included),Plastic,Self-stick,Porta-Pad II and Electron Beam Launch Controller,"1/8""",/hc/en-us/article_attachments/9031391817357,,,"Estes model rocketry is recommended for boys and girls ages 10+ with adult supervision for those under 12, and rocketeers of all ages.",,,,,https://estesrockets.com/product/001749-gnome-bulk-pack-12-pk/
/hc/en-us/articles/9031310769549-1751-Alpha-III-Bulk-Pack-12-Pk-,,/hc/article_attachments/9031291689613/AlphaIII_EDU_blk.webp,"1/2A6-2, A8-3, A8-5, B4-4, B6-4, B6-6, C6-5, C6-7",1100 ft. (335 m),12 in. (30.5 cm) Parachute,12.1 in. (30.7 cm),0.98 in. (25 mm),1.2 oz. (34 g),,Plastic,Self-stick,Porta-Pad II and Electron Beam Launch Controller,"1/8""",/hc/en-us/article_attachments/9031310603149,,,"Estes model rocketry is recommended for boys and girls ages 10+ with adult supervision for those under 12, and rocketeers of all ages.",,,,1 Hour (painting and glue drying time not included),https://estesrockets.com/product/001751-alpha-iii-bulk-pack-12-pk/
/hc/en-us/articles/9031514177421-1753-AVG-Bulk-Pack-12-Pk-,,/hc/article_attachments/9031492768013/AVG_EDU_blk.jpg,"Alpha : 1/2A6-2, A8-3, A8-5, B4-4, B6-4, B6-6, C6-5, C6-7w/Engine Adapter (sold separately)- A10-3T
Viking : 1/2A6-2, A8-3, A8-5, B4-4, B6-4, B6-6, C6-5, C6-7w/Engine Adapter (sold separately)- A10-3T
Generic E2X : 1/2A6-2, A8-3, A8-5, B4-4, B6-4, B6-6, C6-5, C6-7",Alpha : 1000 ft. (305 m)Viking : 1600 ft. (488 m)Generic E2X : 1325 ft. (404 m),Alpha : 12 in. (30.5 cm) ParachuteViking : 18 in. (45.7 cm) StreamerGeneric E2X : 12 in. (30.5 cm) Parachute,Alpha : 12.3 in. (31.2 cm)Viking : 12.1 in. (30.7 cm)Generic E2X : 13.5 in. (34.3 cm),Alpha : 0.98 in. (25 mm)Viking : 0.74 in. (19 mm)Generic E2X : 0.98 in. (25 mm),Alpha : 0.8 oz. (22.7 g)Viking : 0.6 oz. (17 g)Generic E2X : 1.3 oz. (36.9 g),Alpha : 1 Hour (painting and glue drying time not included)Viking : 1 Hour (painting and glue drying time not included)Generic E2X : 1 Hour (painting and glue drying time not included),Alpha : Laser cut woodViking : CardstockGeneric E2X : Plastic,Alpha : Self-stickViking : Self-stickGeneric E2X : Self-stick,Alpha : Porta-Pad II and Electron Beam Launch ControllerViking : Porta-Pad II and Electron Beam Launch ControllerGeneric E2X : Porta-Pad II and Electron Beam Launch Controller,"Alpha : 1/8""Viking : 1/8""Generic E2X : 1/8""",/hc/en-us/article_attachments/9031513588493,,,"Estes model rocketry is recommended for boys and girls ages 10+ with adult supervision for those under 12, and rocketeers of all ages.",,,,,https://estesrockets.com/product/001753-avg-bulk-pack-12-pk/
/hc/en-us/articles/9031594499725-1754-Wizard-Bulk-Pack-12-Pk-,,/hc/article_attachments/9031592372365/Wizard_EDU_blk.jpg,"1/2A6-2, A8-3, A8-5, B4-4, B6-4, B6-6, C6-5, C6-7w/Engine Adapter (sold separately)- A10-3T",1600 ft. (488 m),18 in. (45.7 cm) Streamer,12 in. (30.5 cm),0.74 in. (19 mm),0.5 oz. (14.2 g),1 Hour (painting and glue drying time not included),Laser cut wood,Self-stick,Porta-Pad II and Electron Beam Launch Controller,"1/8""",/hc/en-us/article_attachments/9031654214669,,,"Estes model rocketry is recommended for boys and girls ages 10+ with adult supervision for those under 12, and rocketeers of all ages.",,,,,https://estesrockets.com/product/001754-wizard-bulk-pack-12-pk/
/hc/en-us/articles/9031689198477-1755-Viking-Bulk-Pack-12-Pk-,,/hc/article_attachments/9031618226317/Viking_EDU_blk.webp,"1/2A6-2, A8-3, A8-5, B4-4, B6-4, B6-6, C6-5, C6-7w/Engine Adapter (sold separately)- A10-3T",1600 ft. (488 m),18 in. (45.7 cm) Streamer,12.1 in. (30.7 cm),0.74 in. (19 mm),0.6 oz. (17 g),1 Hour (painting and glue drying time not included),Cardstock,Self-stick,Porta-Pad II and Electron Beam Launch Controller,"1/8""",/hc/en-us/article_attachments/9031680210829,,,"Estes model rocketry is recommended for boys and girls ages 10+ with adult supervision for those under 12, and rocketeers of all ages.",,,,,https://estesrockets.com/product/001755-viking-bulk-pack-12-pk/
/hc/en-us/articles/9031756939789-1756-Alpha-Bulk-Pack-12-Pk-,,/hc/article_attachments/9031693984269/Alpha_EDU_blk.webp,"1/2A6-2, A8-3, A8-5, B4-4, B6-4, B6-6, C6-5, C6-7w/Engine Adapter (sold separately)- A10-3T",1000 ft. (305 m),12 in. (30.5 cm) Parachute,12.3 in. (31.2 cm),0.98 in. (25 mm),0.8 oz. (22.7 g),1 Hour (painting and glue drying time not included),Laser cut wood,Self-stick,Porta-Pad II and Electron Beam Launch Controller,"1/8""",/hc/en-us/article_attachments/9031712802573,,,"Estes model rocketry is recommended for boys and girls ages 10+ with adult supervision for those under 12, and rocketeers of all ages.",,,,,https://estesrockets.com/product/001756-alpha-bulk-pack-12-pk/
/hc/en-us/articles/9031277299853-1764-Generic-E2X-Bulk-Pack-12-Pk-,,/hc/article_attachments/9031258340877/E2X_EDU_blk.jpg,"1/2A6-2, A8-3, A8-5, B4-4, B6-4, B6-6, C6-5, C6-7",1325 ft. (404 m),12 in. (30.5 cm) Parachute,13.5 in. (34.3 cm),0.98 in. (25 mm),1.3 oz. (36.9 g),1 Hour (painting and glue drying time not included),Plastic,Self-stick,Porta-Pad II and Electron Beam Launch Controller,"1/8""",/hc/en-us/article_attachments/9031276853133,,,"Estes model rocketry is recommended for boys and girls ages 10+ with adult supervision for those under 12, and rocketeers of all ages.",,,,,https://estesrockets.com/product/001764-generic-e2x-bulk-pack-12-pk/
